user,rec,score
0,168,5.9547825
0,1578,5.872963
0,645,5.8668
0,1111,5.8597093
0,11,5.6660953
0,283,5.6043596
0,527,5.5571465
0,749,5.529605
0,1238,5.518627
0,188,5.5154886
0,342,5.504569
0,170,5.4958816
0,897,5.4879146
0,406,5.4368496
0,1114,5.4020057
0,1124,5.353535
0,291,5.3061886
0,481,5.263599
0,706,5.263356
0,511,5.23742
1,252,4.9955564
1,473,4.9837413
1,749,4.9414973
1,235,4.8710375
1,714,4.8556595
1,849,4.824243
1,59,4.7830286
1,1124,4.778587
1,1382,4.7616587
1,309,4.749342
1,768,4.74177
1,1012,4.7280545
1,848,4.7252083
1,948,4.725144
1,809,4.7098303
1,55,4.70481
1,514,4.694371
1,159,4.6879845
1,344,4.6755157
1,971,4.6587405
2,342,6.0992713
2,650,5.848671
2,283,5.532264
2,645,5.457633
2,949,5.433078
2,127,5.4111366
2,11,5.3270845
2,899,5.2486777
2,113,5.242319
2,1111,5.2408605
2,587,5.235032
2,582,5.216101
2,47,5.146063
2,406,5.1434064
2,1146,5.120447
2,897,5.116053
2,194,5.1110973
2,309,5.094049
2,1117,5.080077
2,1578,5.0718694
3,1485,5.2663713
3,1330,4.9210467
3,858,4.871001
3,1430,4.8572574
3,1011,4.846489
3,601,4.8206286
3,1352,4.746036
3,355,4.7342277
3,789,4.697895
3,1190,4.6912217
3,928,4.645671
3,636,4.637889
3,642,4.6050024
3,631,4.596307
3,605,4.54789
3,1441,4.534953
3,652,4.525836
3,133,4.48741
3,613,4.4739194
3,178,4.469749
4,937,6.0832596
4,498,6.0118036
4,1140,5.9448524
4,789,5.89562
4,18,5.869997
4,342,5.857091
4,807,5.8446913
4,691,5.840751
4,518,5.835844
4,1077,5.7120876
4,951,5.657727
4,337,5.617554
4,1118,5.6061134
4,47,5.5924296
4,833,5.5383625
4,652,5.518345
4,1496,5.5170493
4,698,5.5136967
4,1441,5.5069237
4,44,5.503294
5,505,5.1558437
5,250,4.9681416
5,155,4.913964
5,1441,4.913756
5,749,4.8564215
5,1261,4.8472476
5,482,4.8130584
5,1146,4.80121
5,939,4.75784
5,464,4.746619
5,971,4.7269487
5,809,4.7222714
5,1156,4.713113
5,1314,4.697115
5,58,4.6869564
5,476,4.6824636
5,766,4.663172
5,1055,4.662034
5,135,4.6606383
5,610,4.6587515
