original_item,new_item
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
28,27
29,28
30,29
31,30
32,31
33,32
34,33
35,34
36,35
37,36
38,37
39,38
40,39
41,40
42,41
43,42
44,43
45,44
46,45
47,46
48,47
49,48
50,49
52,50
53,51
54,52
55,53
56,54
57,55
58,56
59,57
60,58
61,59
62,60
63,61
64,62
65,63
66,64
68,65
69,66
70,67
71,68
72,69
73,70
74,71
75,72
76,73
77,74
78,75
79,76
80,77
81,78
82,79
83,80
84,81
85,82
86,83
87,84
88,85
89,86
90,87
92,88
93,89
94,90
95,91
96,92
97,93
98,94
99,95
100,96
101,97
102,98
103,99
104,100
105,101
106,102
107,103
108,104
110,105
111,106
112,107
113,108
114,109
116,110
117,111
118,112
119,113
120,114
121,115
122,116
123,117
124,118
125,119
126,120
128,121
129,122
130,123
131,124
132,125
135,126
136,127
137,128
138,129
139,130
140,131
141,132
142,133
144,134
145,135
146,136
147,137
148,138
149,139
150,140
151,141
152,142
153,143
154,144
155,145
156,146
157,147
158,148
159,149
160,150
161,151
162,152
163,153
164,154
165,155
166,156
167,157
168,158
169,159
170,160
171,161
172,162
173,163
174,164
175,165
176,166
177,167
178,168
179,169
180,170
181,171
182,172
183,173
184,174
185,175
186,176
187,177
188,178
189,179
190,180
191,181
193,182
194,183
195,184
196,185
197,186
198,187
199,188
200,189
201,190
202,191
203,192
204,193
205,194
206,195
207,196
208,197
209,198
210,199
211,200
212,201
213,202
214,203
215,204
216,205
217,206
218,207
219,208
220,209
222,210
223,211
224,212
225,213
226,214
227,215
228,216
229,217
230,218
231,219
232,220
233,221
234,222
235,223
236,224
237,225
238,226
239,227
240,228
241,229
242,230
243,231
244,232
245,233
246,234
247,235
248,236
249,237
250,238
251,239
252,240
253,241
254,242
255,243
256,244
257,245
258,246
259,247
260,248
261,249
262,250
263,251
264,252
265,253
266,254
268,255
269,256
270,257
271,258
272,259
273,260
274,261
275,262
276,263
277,264
278,265
279,266
280,267
281,268
282,269
283,270
286,271
287,272
288,273
289,274
290,275
291,276
292,277
293,278
294,279
295,280
296,281
297,282
298,283
299,284
300,285
301,286
302,287
303,288
304,289
305,290
306,291
307,292
308,293
309,294
310,295
311,296
312,297
313,298
314,299
315,300
316,301
317,302
318,303
319,304
320,305
321,306
322,307
324,308
325,309
326,310
327,311
328,312
329,313
330,314
331,315
332,316
333,317
334,318
335,319
336,320
337,321
338,322
339,323
340,324
341,325
342,326
343,327
344,328
345,329
346,330
347,331
348,332
349,333
350,334
351,335
352,336
353,337
354,338
355,339
356,340
357,341
358,342
359,343
360,344
361,345
362,346
363,347
364,348
365,349
366,350
367,351
368,352
369,353
370,354
371,355
372,356
373,357
374,358
375,359
376,360
377,361
378,362
379,363
380,364
381,365
382,366
383,367
384,368
385,369
386,370
387,371
388,372
389,373
390,374
391,375
392,376
393,377
394,378
397,379
398,380
401,381
405,382
406,383
407,384
408,385
409,386
410,387
411,388
412,389
413,390
414,391
415,392
416,393
417,394
418,395
419,396
420,397
421,398
422,399
423,400
424,401
425,402
426,403
427,404
428,405
429,406
430,407
431,408
432,409
433,410
434,411
435,412
436,413
437,414
438,415
440,416
441,417
442,418
