user,pos_item,neg_item
5,919,1127
5,908,356
5,1250,860
5,913,150
5,968,202
5,299,6
5,1513,202
5,1243,800
5,1617,202
5,1046,356
5,593,501
5,296,1594
5,318,1653
5,608,733
5,1213,1268
5,1089,1279
5,50,1279
5,896,357
5,714,1653
5,1192,1127
5,994,1653
5,1554,356
5,176,1594
5,34,24
5,562,24
5,162,501
5,1649,1093
5,41,412
5,728,1127
5,1175,202
5,36,733
5,581,860
5,1449,150
5,1171,357
5,461,150
5,32,1093
5,1509,412
5,1529,1127
5,39,6
5,265,24
5,1095,6
5,29,356
5,1635,202
5,1650,150
5,1500,1093
5,47,1653
5,866,202
5,215,501
5,272,1268
5,1535,860
5,1517,1279
5,16,412
5,1392,150
5,1610,1594
5,497,202
5,1466,733
5,509,1653
11,1198,1042
11,587,85
11,318,454
11,593,272
11,50,986
11,608,1573
11,994,708
11,1089,1042
11,1265,85
11,764,586
11,778,708
11,543,1682
11,1188,986
11,597,586
11,441,788
11,1059,85
11,249,586
11,345,85
11,480,586
11,515,788
11,1498,440
11,551,1573
11,481,708
11,1563,357
11,342,1042
11,110,986
11,1441,708
11,590,440
11,1673,1573
11,36,708
11,1213,788
11,246,272
11,531,1665
11,1546,708
11,47,85
11,1394,708
11,1136,454
11,1244,1042
11,1259,586
11,1080,85
11,1307,1682
18,902,291
18,1097,1377
18,1073,546
18,260,552
18,367,737
18,653,1064
18,1654,377
18,1196,736
18,110,2
18,1198,1606
18,1201,1562
18,1242,95
18,1200,1126
18,1036,1367
18,1291,208
18,1387,1377
18,969,95
18,589,434
18,1210,1552
18,1240,291
18,1408,485
18,1215,552
18,555,546
18,368,168
18,592,291
18,1275,546
18,380,405
18,1580,737
18,163,1606
18,1527,1377
18,10,839
18,648,737
18,353,2
18,292,405
18,780,1049
18,1391,1377
18,288,1367
18,1378,1562
18,1676,737
18,466,1552
18,1544,1049
18,153,168
18,44,1606
18,1379,1377
18,327,1064
18,1617,737
18,1344,736
18,1274,434
18,1259,1377
18,919,839
18,1197,737
18,29,1552
18,590,552
18,940,377
18,421,736
18,1587,1499
18,158,95
18,1,95
18,364,168
18,588,485
18,594,736
18,595,291
18,596,485
18,1282,1377
18,1032,1049
18,1022,208
18,741,1064
18,1029,377
18,1025,2
18,313,736
18,783,737
18,1033,168
18,616,1367
18,48,1126
18,34,546
18,262,1377
18,1028,737
18,531,736
18,551,405
18,586,434
18,1013,405
18,50,839
18,1234,208
18,296,1126
18,1500,377
18,1089,2
18,493,1606
18,1396,1367
18,527,736
18,1193,1562
18,1207,1552
18,1411,168
18,920,1126
19,593,1214
19,527,1214
19,1210,1610
19,1196,1214
19,260,1371
19,1198,76
19,1197,1373
19,1240,1610
19,457,842
19,1277,1610
19,1291,368
19,1597,1327
19,377,1650
19,10,1371
19,1370,1327
19,1220,1327
19,1580,1327
19,1375,741
19,1376,1655
19,733,1327
19,1372,76
19,1261,1327
19,165,1373
19,380,879
19,1552,1610
19,648,1650
19,1608,741
19,1259,1655
19,1644,368
19,1374,1327
19,1356,1655
19,329,1610
19,420,842
19,1036,1373
19,1682,1371
19,1407,1610
19,1090,76
19,47,1650
19,1307,1214
19,17,879
19,1350,842
19,1219,368
19,1258,1655
19,1387,1327
19,1321,741
19,1340,76
19,1345,741
19,1645,1650
19,1334,1373
19,1339,1373
19,330,76
19,858,1214
19,1200,842
19,110,879
19,940,741
19,1127,1371
19,592,76
19,919,1371
19,1073,76
19,1,368
19,720,1327
19,594,1327
19,364,741
19,595,76
19,588,842
19,596,842
19,1025,879
19,1029,368
19,1282,1650
19,1022,1655
19,34,1610
19,1278,1214
19,1080,368
19,1188,1610
19,356,741
19,1265,1373
19,1206,1371
19,1097,1650
22,1606,592
22,1196,1278
22,1210,1552
22,111,1479
22,1214,736
22,771,39
22,1136,216
22,1394,648
22,1080,230
22,1288,377
22,1197,312
22,671,1566
22,1282,1608
22,610,1544
22,1405,454
22,318,39
22,858,288
22,1225,786
22,296,587
22,608,185
22,1247,1580
22,919,1091
22,110,798
22,1259,1377
22,1222,1552
22,1253,1020
22,1673,185
