ord,n,m,all_data,a,find_counterfactual_set,select_optimal_pairs,improved_counterfactual,time,equal_r1_r2,equal_r1_r3,equal_r2_r3
0,10,0,"[([8], 0.0039361465452379665), ([100, 8], 0.008336386367106997), ([89, 100, 8], 0.011014561269787844), ([71, 89, 100, 8], 0.013136250859372825), ([40, 71, 89, 100, 8], 0.013505708428781791), ([99, 40, 71, 89, 100, 8], 0.013615235104578249)]",0.024179102941099373,[],[],[],"[8.463859558105469e-05, 2.765655517578125e-05, 5.221366882324219e-05]",TRUE,TRUE,TRUE
0,9,1,"[([68], 0.0015292645993177545), ([72], 0.0002619642262244176), ([8], 0.0022089113903534735), ([29], 0.004350112648167753), ([100, 68], 0.0062590519158457775), ([18, 8], 0.006848388525042344), ([11, 18, 8], 0.011703218080519114), ([39, 100, 68], 0.010852643593014692)]",0.0037486219276768725,[29],[29],[11],"[8.821487426757812e-06, 0.00010180473327636719, 4.7206878662109375e-05]",TRUE,TRUE,TRUE
0,9,2,"[([83], 0.00412380622928663), ([21], 0.0037302440565470164), ([35], 0.002601543638130221), ([19, 35], 0.00270468303262772), ([45, 83], 0.005476499860695766), ([51, 21], 0.00453706927094369), ([5, 45, 83], 0.01008446939542907), ([38, 51, 21], 0.005037414114849865)]",0.006429089729307664,"[83, 21]","[83, 35]","[5, 45, 83]","[1.6689300537109375e-05, 7.200241088867188e-05, 4.291534423828125e-05]",TRUE,FALSE,FALSE
0,8,3,"[([36], 0.002539750045415551), ([95], 0.002125971334393917), ([46], 0.0030700871530950132), ([29, 36], 0.005143333759080605), ([27, 46], 0.005123362466797598), ([8, 95], 0.0028072272899348984)]",0.009895672938955725,"[46, 29, 36, 95]","[29, 36, 27, 46]","[27, 29, 36, 46]","[4.410743713378906e-05, 3.218650817871094e-05, 3.409385681152344e-05]",TRUE,TRUE,TRUE
0,9,4,"[([29], 0.00014346319769177), ([17, 29], 0.004702616734362573)]",0.0020875265118328818,"[17, 29]","[17, 29]",[17],"[1.0013580322265625e-05, 4.5299530029296875e-06, 1.6450881958007812e-05]",TRUE,FALSE,FALSE
0,5,5,"[([53], 0.0022595363605926906), ([90], 0.0001457442606594589), ([18], 0.004149101594474854), ([30], 0.0042695708789461835), ([13, 90], 0.0038810084855563755)]",0.005330996380687429,"[30, 18]","[53, 18]",[],"[1.1682510375976562e-05, 2.2649765014648438e-05, 2.6702880859375e-05]",TRUE,FALSE,FALSE
0,6,6,"[([78], 0.00498057603929675), ([69], 0.003722129435652056), ([65], 0.002982033612457363), ([57], 0.0018031756425464951), ([52], 0.004679233518390777), ([30, 65], 0.005290355313926846)]",0.012413562025178626,"[78, 52, 69]","[78, 65, 52]",[],"[1.8596649169921875e-05, 6.604194641113281e-05, 4.673004150390625e-05]",TRUE,FALSE,FALSE
0,6,7,"[([6], 0.001568893424084273), ([15, 6], 0.006348066320186999), ([4, 15, 6], 0.00937492418608376), ([62, 4, 15, 6], 0.01113547698323555)]",0.004085937790714376,"[15, 6]","[15, 6]","[4, 62]","[1.2636184692382812e-05, 9.298324584960938e-06, 2.4318695068359375e-05]",TRUE,TRUE,TRUE
0,10,8,"[([75], 0.000708360411701195), ([69], 0.004727675748951894), ([49, 75], 0.0024774096469782217), ([28, 69], 0.007123547171875436)]",0.004187495460937946,[69],[69],"[28, 69]","[4.76837158203125e-06, 1.0728836059570312e-05, 2.1457672119140625e-05]",TRUE,FALSE,FALSE
0,10,9,"[([65], 0.004067038338623381), ([15], 0.000364294161293065), ([21], 0.0038177739506199235), ([77], 0.003975330253066826), ([19], 0.004501505269670873), ([79], 0.0039650014370546435), ([31], 0.0005013841109111389), ([49, 21], 0.00553110106117427), ([14, 49, 21], 0.006527115303456084)]",0.013928216117565709,"[19, 65, 49, 21]","[19, 79, 49, 21]","[19, 65, 77, 79]","[2.956390380859375e-05, 0.00034236907958984375, 4.458427429199219e-05]",TRUE,TRUE,TRUE
